service,username,password,notes,is_private
KIKIKI,KIKI,LPFNFZDJUFEVDPFGZOOY,,0
",MASMKSXMXMXM",KIKI,biximmmcnmizndfabzfg,,0
PEPIOTO 100,KIKI,UGu(rDdm<TkR/p9=&>E#,,0
XXXXX,RODOLFO,ibivyemuxigqshgtdaje,,0
DFGDFGDFGD,RODOLFO,@k2=7.{)Y3|4p6^k1.Tx,,1
JJJJJJJJJJJJJJJJJJJJJJJJJ,RODOLFO,RODOLFOTIRADO,,0
MMMM,RODOLFO,c=?V9IW]boJC2D.aldO(a,,1
PRUEBA,RODOLFO,"W/%z!Gv,Y4}F}[SsrA(lL",,0
KIKI 2,KIKI,[Bloqueado 🔑],,0
RODOLFO 43,RODOLFO,bqhuzsfikdpwnlivvwfw,,0
RODOLFO 5,RODOLFO,pvhlwfsxlerkbnizqrsr,,1
OFITO,RODOLFO,dyepyhpseidvsakohzns,,0
DAFSSDSS,RODOLFO,_5R1@8@@S]]^G3;GPXG],PROBANDO,1
SSDSSSS,RODOLFO,"L43H.3*7,3!\&O1XUCL!",,1
OFITO 200,RODOLFO,AQOIYJNHIFDTTSIZKVBP,,1
ENENITA,RODOLFO,RODOLFO77,,0
NENITA 3,RODOLFO,RODOLFO77,,0
KKKKKKK,RODOLFO,AYWOWYLYBXPLYHTMWAAC,,0
PUMBA,RODOLFO,KPCRTLUEHHSIGVTWWTXY5354353543@@@,,0
KAFENCITA,RODOLFO,p+:%bxDer+Ef_hP9:.Hr,,0
KARENCITA,RODOLFO,$W(U^(M-^|Fq<M?!vK{L,TEST DE NOTAS,0
".,MKLLLKMKLMNLMLMKLMMKL",RODOLFO,RTRASKELFGFBXQRISWAA,,0
SCVSDCSCSCS,RODOLFO,24|y4sVEioi#u~ZXm:vQ,ZXax,0
FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,RODOLFO,~9+{*Dc$:+f*$H#1LIHk@,,0
"XC,M VMC,S CMS ,MZ S",RODOLFO,"rOmzhk~ZL+3{iV70^j,f",COMENTARIO ADICONA,0
DVCDVVDVDFVDF,RODOLFO,"$_uUqB#5OvPF-cQs_e,v",,1
RODOLFORODOLFO,RODOLFO,1234567,ESTO ES UNA PRUEBA,0
EjemploServicio,usuario@ejemplo.com,PasswordSegura123,Nota opcional,0
BóvedaPersonal,mi_alias,ClaveSecreta789,Solo accesible para mí,1
